id,text,coding,sentiment
"""1465718731644948481""","To protest COVID mandates, this California town declared itself a 'constitutional republic'// And I'm sure all State, Federal etc monies they receive and their residents receive were abruptly returned RIGHT? https://t.co/J86MWdZIAF via @SFGate",,
"""1465718735361163265""",Helang! Covid is in our backyards.,,
"""1465718734128099333""","Health Secretary @sajidjavid tells #covid briefing this is a national mission and we all have a role to play if we want to give ourselves the best chance of a #Christmas with our loved ones the best thing we can all do is step up, roll up our sleeves and get protected @BBCLeeds",,
"""1465718719997530125""","The markets decline amid fear of Omicron, yet the private equity markets and commercial real estate are looking past COVID. Learn more in this weeks edition of The Pulse. https://t.co/iOe31JnMKf",,
"""1465718733222162432""",nah cz the amount of stop forcing people to put things in their bodies posts im seeing on instagram regarding the vaccine is fucking sad,,
"""1465718734790619141""",Court temporarily halts San Diego Unified School District's student COVID-19 vaccination mandate  https://t.co/EohpPlhkQw,,
"""1465718737995190273""",The fact that someone is coughing constantly through Boris' COVID-19 press conference right now... https://t.co/K5s6hDVe3I,,
"""1465718736795619331""","This pandemic has identified 2 types of people.1. Obedient, non thinking, follow the crowd, fearful &amp; easily brainwashed.2. Researches, thinks for themselves, logical, aware, conscious, strong minded &amp; sees the bigger picture.Both will not back down to their beliefs.#COVID19 https://t.co/ALbeLHzi3g",,
"""1465718740436332545""",Yall naming this New Covid variant Omarion took me out. Lmaoooooooo,,
"""1465718741073907718""",we fighting two pandemics rn covid-19 and white people,,
"""1465718740780142593""",I'm going to have to take it easy for now on since I've just found out that my family members I live with currently all have covid and I am not feeling the best.,,
"""1465718742814494725""",At the onset of COVID-19 Rihanna bought and shipped ventilators for her home country Barbados . A very big 1st world country held on to them when they passed through their ports That country has sunk so far in my eyes... greatest nation on earth... nah,,
"""1465718748548005889""",BONOKOSKI: Fears of trucker vaccination cockup in supply-line management https://t.co/Env0tNR4pz Has Trudeau come out from behind his front door yet? Truckers were essential the past almost 2 years - now they aren't.  What a bunch of 'hogwash'.,,
"""1465718748564836355""","Since the start of #COVID-19, #China has been taking part in the global cooperation on origins-tracing. China lost no time in providing updates of the epidemic, reporting the outbreak to the #WHO and the intl community, and identifying &amp; sharing the genome sequence of the virus.",,
"""1465718748107714560""","There were 140 new #COVID19 cases, 1 hospitalization and 1 death reported today, Nov. 30, in @MontgomeryCoMD.  https://t.co/9jKSJpHYay. Please continue to get tested  https://t.co/kinqLJXQKE  and get vaccinated  https://t.co/TrL6RKyF3t . Thank you! https://t.co/bXqAIld3RV",,
"""1465718747029774341""",FDA to consider approval of antiviral Mercks COVID-19 pill molnupiravir  https://t.co/xw1sduKC47,,
"""1465718731359797254""","A further eight cases of the new Omicron COVID-19 variant have been identified in England, the UK Health Security Agency (UKHSA) has reported. https://t.co/5JSdLl9mnc",,
"""1465718748547989512""","When COVID comes to your house, along with Thanksgiving and a bathroom reconstruction project: https://t.co/bgGJl2aKpn https://t.co/D5s79OXMEl",,
"""1465718754889850885""",COVID will continue to mutate as long as not almost 99% in the world is vaccinated and therefor is a threat to the World Economy,,
"""1465718755175059456""",Could the omicron variant of COVID-19 recently identified in South Africa make it to Georgia? Health officials are preparing for if it does. https://t.co/mv8tKl4Cup,,
"""1465718753535090691""","COVID-19 Mortality Risk Correlates Inversely with Vitamin D3 Status, and a Mortality Rate Close to Zero Could Theoretically Be Achieved at 50 ng/mL 25(OH)D3: Results of a Systematic Review and Meta-Analysis https://t.co/7xybSgGn7Q",,
"""1465718760669650944""","What the hell is going on in this press conference? It's once again nothing but pressure from our ridiculously hardline media. More restrictions, lockdowns, close everything down, don't socialise with family at Xmas. Why is our media so hardline on Covid? No balance at all.",,
"""1465718759268753412""",The roof is on fire. III &amp; IV (2021)#omikron #conceptart #architecture #artwork #COVID19 https://t.co/TwHj4jQnYQ,,
"""1465718762506752006""",So the new strain of the virus is called OMICRON B is threatening to ruining peoples Christmas plans. Strangely enough if you rearrange the variant it actually spells out NO CRIMBO  #covidvariant #COVID19 #OmicronVariant,,
"""1465718763223801858""",Do not trust on the Dalal Godi media facts are not shown .Country economy is going down. covid-19 was not taken seriously in time to prevent India citizen.#DalalGodiMedia,,
"""1465718765979590668""",mRNA Vaccines Put You at Significant Risk for Acute Coronary Syndromehttps://t.co/zmNu3rtuFG,,
"""1465718770064936973""","Neighbors had corona virus two weeks ago (for the second time.) My kids hung out with their kids before that time so today were getting to go get checked. I hope its negative because I really dont want coronavirus ever again. (No, I havent gotten vaccinated yet.)",,
"""1465718769519575051""",Chic Zebra Stripes Pink Roses Trendy Pattern Premium Face Mask  https://t.co/VMP3bd8A6W #covid #facemasks #covid19 #coronavirus #socialdistancing,,
"""1465718767607062533""",Pfizer set to request authorization for coronavirus booster for 16- and 17-year-olds https://t.co/YokPZjQgeX,,
"""1465718766432665621""",'The Netherlands RIVM health institute found omicron in samples dating from Nov. 19 and 23. The World Health Organization said South Africa first reported the variant to the U.N. health agency on Nov. 24.'https://t.co/JP4KvpAaAq,,
"""1465718772254314505""","Court Sides with Alaska, Other States and Blocks CMS Vaccine Mandate  Alaska Native NewsChronLaw 10th Amendment Newsat https://t.co/SJDKGqjZo4#10thAmendment #news #law #attorney #lawyer",,
"""1465718769813270536""",Cooper still experiencing covid symptoms and they let him back in the building. https://t.co/vYSjwrkLgN,,
"""1465718771599958025""",Federal Judge Blocks Health Care Worker VaccineMandate https://t.co/fsGDZaBrfk,,
"""1465718773097320452""",me when the newest sequel to covid drops https://t.co/9p6TZ8vS2q,,
"""1465718772728320003""",Sophisticated Tardigrade malware launches attacks on vaccine manufacturing infrastructure https://t.co/hlHpjhpvfK via @TripWireInc https://t.co/xvOiV48M1h,,
"""1465718770782154755""",This Canadian physicist knew years ago that infections like COVID-19 could be airborne - ping @dfisman  https://t.co/8xdaUAWWgP,,
"""1465718775488163847""","COVID off, ihuuuu ",,
"""1465718776092151830""",COVID-19 Variant: Okowa urges Nigerians to embracevaccination https://t.co/daseTzeGIS,,
"""1465718775148433423""",Pritchard says this is without a doubt the most complex part of the vaccine rollout so far,,
"""1465718780290551808""","Our ONLINE chat user just found 25 Mortgage #Rates for 100,000 over 25 years - view them here: https://t.co/wzYKNRIWFl",,
"""1465718781762748427""","Amid Omicron Threat, Home Ministry Extends Covid Containment Measures Till December31 https://t.co/B4F2hflrAQ",,
"""1465718781033029641""","The UAE tops Bloomberg's Covid Resilience Ranking, as winter ignites a new wave of cases in Europe See where your country ranks: https://t.co/d8mc6ZAex9 https://t.co/tsnyUKn3ae",,
"""1465718777119657990""","With CEO this weekend, I wanted to let everyone know about an amazing family run restaurant that is only 20 min from the venue.It's called Seoulicious Korean BBQ and it's still trying to get back on its feet post-COVID. A smash community member has been helping his family (1/2)",,
"""1465718780672327684""",Unsure if I have a headache because I'm tired? Or if I'm tired and have a headache because of the vaccine?,,
"""1465718782891073542""","No, the COVID-19 vaccines cant cause or create new variants https://t.co/32eWxrew0l",,
"""1465718769028931584""",Omicron: New COVID Variant (Coronavirus Update 138) https://t.co/8zUze0fdsm#weightloss #yoga #fitness #movies,,
"""1465718785931841548""",Defense secretary warns Oklahoma's GOP governor that troops who don't get COVID-19 vaccine are putting their careers in jeopardy https://t.co/l46mwFul83 -- And the real patriots in Oklahoma are telling you to shove your vaccine up your proper pronoun racist a$$.,,
"""1465718785776758788""",These 'briefings' are becoming more like sales conferences. Today's particularly bad for this with massive vaccine bragging (which is wearing thin now) from everyone and endless repetition of how 'everyone is working extremely hard'.Just give us facts and cut the sales pitch https://t.co/kWNli86AF4,,
"""1465718786787532800""","Prof. Linda Wastila Gives Testimony on Vaccine-Induced Myocarditis: I am stunned when I hear people dismiss myocarditis as an acceptable side-effect, especially for young people  The Expose https://t.co/6YebrxkvN4",,
"""1465718785160192007""",Health experts say omicron variant is result of COVID-19 vaccineinequity https://t.co/dShunVCCbH,,
"""1465718783599915016""","I usually get a few cold sores a year. (I know, gross. But shut up.) When there's a weather change, when I eat too many nuts, and when I'm stressed.I've had *one* short length one in the past year.Wonder if the vaccine has helped my ever living virus?",,
"""1465718785336172546""","Bro, Im smart enough to know that the vaccine loses efficacy over time and you need boosters!  Anti-vaxxer idiot!Man, what do you even say to this drivel?",,
"""1465718790822539276""",Just realized I went idle on my Instagram account right after posting pictures from my two Covid vaccinations. I hope I become fodder for a huge conspiracy theory now.,,
"""1465718787517435917""","COVID-19 vaccine effectiveness will likely drop against omicron variant, Moderna CEO says - Fox Business https://t.co/3fRIDlu3R4 via @GoogleNews",,
"""1465718792294703109""",After all the crap @ChrisCuomo pulled.  #FREDO Should Be Fired @CNN After These New Revelations.  Hes corrupt and a terrible person (remember his COVID quarantine fight).  #FIREFREDO That name is #FREDO ..is sticking forever!  https://t.co/RYpNb2aqOz,,
"""1465718794576400391""",Omicron Covid variant: All nine cases of new strain found in Scotland 'linked to same event' https://t.co/dPIK0lvyH0,,
"""1465718794890981384""",How many Pfizer employees gave refused the Pfizer vaccine?Pfizer employees face COVID-19 vaccine mandate deadline of Nov. 15 https://t.co/JAA3OAccA2,,
"""1465718796740665356""",PM's Covid press conference rather marred by the coughing of the NHS spokes person.,,
"""1465718798577717249""",Moderna boss says vaccines likely no match for Omicron: FTblergh  https://t.co/uij8W2tQIO,,
"""1465718799387217923""",Then why should we run out and get boosters when they won't work against the new COVID?,,
"""1465718799123030019""","Johnson really is putting all his eggs in the vaccine basket, isn't he? Pray that Omicron doesn't smash it.",,
"""1465718800721104902""",#NHLBruins announced that Bruce Cassidy has been placed in COVID Protocol and Don Sweeney will speak to the media shortly. @BOSHockeyNow,,
"""1465718805431209989""",Fantastic to hear someone coughing during the Covid press conference thats really great,,
"""1465718805540319241""",MPs vote for stricter Covid rules on mask-wearing and isolation in England https://t.co/epju23lfjZ,,
"""1465718804705648640""",#COVID19 Wow!!! So much unnecessary death still to come. God Bless . Please dont give up on the deceived. https://t.co/Vey3AO8ty4,,
"""1465718809256333312""",France records most new Covid-19 cases since spring https://t.co/HBFE40vRhj,,
"""1465718811424956417""","Covid Recovery Proof - anyone able to advise what is acceptable as covid recovery proof, 6 Counties DO NOT PROVIDE anything yet its is part of criteria, it's infuriating Do I just show Covid positive email I got? or what? this is a joke",,
"""1465718810531352579""",COVID: Foreign returnees to be examined for 16 days in Rajasthan#DrNarottamSharma #CMHO #Jaipur #COVID #Rajasthan Watch Video : https://t.co/gRUx2u4Q1d https://t.co/Xj4a5O5Doz,,
"""1465718812960075776""",Is the new Covid variant Omicron related to Megatron? #Transformers,,
